track_name,artist_name,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,is_popular
Pumpkins scream in the dead of night,Savage Ga$p,0.811,0.577,-5.997,1,1,0.439,0.14,0.0,0.0817,0.455,171.092,148140,True
Dissolve,Absofacto,0.688,0.582,-10.668,0,6,0.0542,0.23,0.000157,0.0663,0.872,85.486,224661,True
Flamingo,Kero Kero Bonito,0.788,0.49,-6.287,1,8,0.511,0.313,0.0,0.0968,0.79,177.865,197528,True
Who R U,Jufu,0.925,0.337,-13.445,1,1,0.41,0.0135,0.0,0.065,0.529,91.478,124613,True
Needs,Verzache,0.813,0.601,-7.552,0,11,0.116,0.189,0.0002,0.426,0.855,118.981,177479,True
Make You Mine,PUBLIC,0.606,0.799,-4.452,1,9,0.0261,0.0128,0.0,0.15,0.638,103.014,232907,True
U Was At The Club (Bottoms Up),The Boyboy West Coast,0.845,0.791,-3.674,1,3,0.161,0.0186,0.107,0.0957,0.843,117.987,196400,True
"Go Loko (feat. Tyga, Jon Z)",YG,0.88,0.67,-5.177,1,2,0.0468,0.325,4.17e-06,0.0662,0.131,101.008,299227,True
Crush,Tessa Violet,0.912,0.401,-9.536,1,1,0.0856,0.03,0.000141,0.08,0.82,135.995,215832,True
Asshole,hooligan chase,0.748,0.802,-6.271,1,5,0.113,0.595,0.000678,0.113,0.874,159.984,156078,True
Big And Chunky,will.i.am,0.965,0.783,-6.898,0,6,0.098,0.141,0.000231,0.109,0.863,119.94,201640,True
Gm Say It Back,Killua the Pilgrim,0.689,0.405,-12.525,1,8,0.171,0.733,4.8e-05,0.54,0.423,77.54,102792,True
Un Poco Loco,Anthony Gonzalez,0.62,0.496,-7.509,1,7,0.133,0.597,1.36e-05,0.322,0.636,126.032,112205,True
Liar,BigKlit,0.883,0.492,-12.118,1,7,0.354,0.339,0.0,0.166,0.59,94.959,146526,True
Truth Hurts,Lizzo,0.715,0.624,-3.046,0,4,0.114,0.11,0.0,0.123,0.412,158.087,173325,True
"Galactic Mermaid (From ""Carole & Tuesday"")",Kuraiinu,0.621,0.446,-4.653,1,7,0.0384,0.736,0.0,0.613,0.97,108.727,45424,True
"Jump Up, Super Star!",VGR,0.619,0.858,-2.312,1,8,0.223,0.029,0.0,0.164,0.588,104.753,241452,True
It's You,Ali Gatie,0.732,0.463,-6.972,0,11,0.0287,0.374,0.0,0.194,0.397,95.971,212607,True
we fell in love in october,girl in red,0.566,0.366,-12.808,1,7,0.028,0.113,0.181,0.155,0.237,129.959,184154,True
Cash Shit (feat. DaBaby),Megan Thee Stallion,0.921,0.635,-4.904,1,1,0.416,0.0218,0.0,0.0946,0.549,130.028,192540,True
Gordon Ramsay,HL Wave,0.883,0.732,-7.133,0,10,0.343,0.0207,0.0,0.199,0.808,74.984,141150,True
Sunshine,Ant Beale,0.762,0.624,-6.299,1,3,0.0951,0.0942,0.0,0.115,0.488,149.95,181543,True
Smack a Bitch,Rico Nasty,0.703,0.7,-2.417,1,2,0.221,0.0055,0.0,0.115,0.34,169.861,138353,True
New Flesh,Current Joys,0.62,0.594,-16.066,1,9,0.0383,0.887,0.5,0.0917,0.698,165.861,167987,True
Wii Shop - Instrumental,Iceboy Ben,0.76,0.516,-10.881,1,0,0.0694,0.000192,0.904,0.109,0.829,148.272,96968,True
Wannabe,why mona,0.578,0.724,-7.02,0,6,0.0865,0.192,2.38e-05,0.235,0.465,169.827,217412,True
Shh,Young Fanatic,0.758,0.716,-7.703,0,4,0.253,0.622,0.000402,0.281,0.964,170.14,120054,True
Walk,Comethazine,0.831,0.795,-6.186,1,1,0.264,0.221,0.0,0.291,0.744,160.063,96064,True
Ransom,Lil Tecca,0.745,0.642,-6.257,0,7,0.287,0.0204,0.0,0.0658,0.226,179.974,131240,True
Panini,Lil Nas X,0.703,0.594,-6.146,0,5,0.0752,0.342,0.0,0.123,0.475,153.848,114893,True
You Reposted in the Wrong Neighborhood I Glue70 Mashup,Shokk,0.805,0.643,-13.912,1,10,0.232,0.41,0.0,0.606,0.927,104.047,196642,True
My Type,Saweetie,0.899,0.811,-6.294,1,2,0.258,0.000677,0.0,0.0672,0.587,105.038,126446,True
Mr. Sandman,The Chordettes,0.626,0.535,-4.441,1,9,0.0443,0.85,0.0,0.0561,0.671,108.804,144200,True
Take Your Man,Mahogany Lox,0.934,0.658,-8.052,1,0,0.108,0.411,0.000738,0.0809,0.344,110.015,117363,True
Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],Getter Jaani,0.659,0.936,-3.519,1,2,0.0606,0.283,0.0207,0.192,0.884,161.983,155009,True
Midnight City,M83,0.507,0.729,-5.399,0,11,0.0393,0.0182,1.4e-06,0.0658,0.272,105.013,243960,True
Be Gone Thot!,LIL MAYO,0.922,0.451,-5.989,1,2,0.12,0.0142,4.74e-05,0.169,0.457,120.045,73000,True
Eyes. Lips. Face.,iLL Wayno,0.88,0.73,-7.008,1,6,0.181,0.0365,6.33e-06,0.232,0.86,159.957,139500,True
The Muffin Song (asdfmovie),The Gregory Brothers,0.911,0.842,-4.845,1,10,0.0922,0.205,1.48e-05,0.115,0.578,112.016,187046,True
Becky,Championxiii,0.934,0.439,-9.564,0,4,0.338,0.00506,0.0,0.092,0.289,140.022,118776,True
7 rings,Ariana Grande,0.725,0.321,-10.744,0,1,0.323,0.578,0.0,0.0884,0.319,70.142,178640,True
I Don't Care (with Justin Bieber),Ed Sheeran,0.798,0.675,-5.041,1,6,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,True
I Love It (& Lil Pump),Kanye West,0.901,0.522,-8.304,1,2,0.33,0.0114,0.0,0.259,0.329,104.053,127947,True
Ride It,Regard,0.88,0.751,-4.258,0,7,0.0874,0.177,6.43e-05,0.106,0.884,117.948,157606,True
Never Ending Story,Gaten Matarazzo,0.438,0.489,-11.568,1,0,0.0465,0.0103,1.22e-05,0.442,0.182,136.077,125480,True
You Make My Dreams (Come True),Daryl Hall & John Oates,0.751,0.501,-12.151,1,5,0.0551,0.234,0.112,0.0467,0.902,167.057,190627,True
Indigo,88rising,0.819,0.664,-5.612,1,7,0.0828,0.0958,1.75e-06,0.263,0.71,144.988,173473,True
Crystal Dolphin,Engelwood,0.567,0.687,-9.041,0,1,0.125,0.36,0.00293,0.474,0.396,128.201,115518,True
Ophelia,The Lumineers,0.664,0.573,-6.519,1,5,0.0277,0.613,0.000363,0.0857,0.566,76.023,160097,True
Oh No!,MARINA,0.77,0.896,-3.971,1,0,0.039,0.0539,0.0,0.243,0.964,126.999,182587,True
Disturbia,Rihanna,0.707,0.813,-4.515,0,11,0.0571,0.0863,0.0,0.168,0.722,124.921,238627,True
ok boomer (feat. Jed Will),Peter Kuli,0.913,0.518,-2.317,1,1,0.416,0.092,0.0,0.071,0.594,129.896,132923,True
Corduroy Dreams,Rex Orange County,0.608,0.305,-14.037,1,4,0.053,0.653,0.0,0.103,0.222,113.818,206975,True
Birthday Suit,Cosmo Sheldrake,0.69,0.574,-8.109,1,8,0.231,0.837,9.48e-05,0.121,0.522,62.619,80407,True
All You Wanna Do,SIX,0.738,0.532,-7.967,0,11,0.187,0.302,0.0,0.0855,0.596,143.991,410089,True
Falling,Trevor Daniel,0.785,0.431,-8.756,0,10,0.0364,0.123,0.0,0.0887,0.236,127.085,159382,True
Candy,Doja Cat,0.689,0.516,-5.857,1,8,0.0444,0.513,0.0,0.163,0.209,124.876,190920,True
This Could Be Us,Rae Sremmurd,0.732,0.69,-4.992,0,0,0.134,0.291,0.0,0.116,0.758,143.072,206307,True
Poker Face,Lady Gaga,0.851,0.806,-4.618,1,4,0.0788,0.12,1.39e-06,0.122,0.775,119.002,237200,True
L.O.V.E.,Harrison Craig,0.588,0.412,-6.226,0,11,0.0363,0.72,0.0,0.153,0.703,74.961,158493,True
Sweet Caroline,Neil Diamond,0.529,0.127,-16.066,1,11,0.0274,0.611,0.000109,0.237,0.578,63.05,203573,True
I'm Gonna Show You Crazy,Bebe Rexha,0.474,0.537,-6.77,1,2,0.0649,0.0758,0.0,0.316,0.335,90.103,207775,True
Love Me,Justin Bieber,0.712,0.868,-3.319,0,5,0.0656,0.00939,0.0,0.283,0.652,125.028,191573,True
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,0.72,0.741,-6.529,0,10,0.0287,0.101,1.41e-05,0.289,0.357,119.896,198053,True
Tungs,The Frights,0.565,0.618,-11.316,0,1,0.104,0.0697,6.37e-05,0.509,0.5,106.337,170299,True
Best Friend,Rex Orange County,0.575,0.714,-5.247,1,6,0.0596,0.395,0.0,0.115,0.32,144.982,262231,True
Video Games,The Young Professionals,0.565,0.893,-4.683,0,4,0.0376,0.0303,0.0,0.0561,0.352,141.957,228706,True
Cha Cha,Freddie Dredd,0.708,0.696,-6.363,1,1,0.172,0.487,0.0718,0.128,0.743,129.96,173897,True
Change Ya Life,Haiti Babii,0.696,0.399,-8.673,0,4,0.0369,0.0224,0.0,0.0747,0.364,98.004,156770,True
Oh Nanana Challenge,Bonde R300,0.729,0.842,-2.997,1,1,0.261,0.0597,3.11e-06,0.319,0.574,64.808,133116,True
Hot Dog!,They Might Be Giants (For Kids),0.818,0.674,-7.856,1,7,0.0811,0.448,3.59e-06,0.0774,0.926,92.614,148133,True
Baby Powder,Bandingo YGNE,0.804,0.439,-9.605,1,1,0.365,0.357,0.0,0.162,0.329,150.039,167500,True
VALENTINO,24kGoldn,0.746,0.717,-4.841,0,9,0.179,0.199,0.0,0.132,0.523,150.964,179133,True
You Belong With Me,Taylor Swift,0.687,0.745,-4.432,1,6,0.0379,0.178,1.59e-05,0.111,0.435,129.966,232120,True
Moment 4 Life,Nicki Minaj,0.68,0.882,-3.883,1,11,0.236,0.406,0.0,0.241,0.386,97.943,279307,True
Leaked,Lil Tjay,0.759,0.613,-7.91,1,7,0.105,0.816,0.0,0.0816,0.329,97.012,220333,True
Lottery (Renegade),K CAMP,0.915,0.556,-8.601,1,1,0.216,0.0145,0.000179,0.0733,0.67,148.964,170947,True
Good Morning,Mak Sauce,0.884,0.543,-8.552,1,11,0.492,0.0603,0.0,0.0672,0.783,148.037,155742,True
It's Up Freestyle,Lil Keed,0.859,0.391,-10.252,0,7,0.701,0.0216,0.0,0.0968,0.354,157.037,159745,True
Walls Could Talk,Halsey,0.626,0.423,-6.035,1,1,0.0513,0.128,0.0,0.18,0.571,95.162,101790,True
Tonight You Belong To Me,Patience & Prudence,0.68,0.32,-7.544,0,10,0.0289,0.954,0.0,0.0948,0.769,108.07,115227,True
u U U U u U did i mfken stutter?,swimcoach,0.878,0.414,-11.881,1,8,0.663,0.0139,4.11e-06,0.0935,0.139,154.831,113502,True
sex,EDEN,0.413,0.521,-4.469,1,9,0.0466,0.162,0.0,0.323,0.532,103.391,218808,True
Somebody That I Used To Know,Gotye,0.863,0.512,-6.955,1,0,0.0363,0.599,0.000137,0.103,0.735,129.045,244885,True
Amour plastique,Videoclub,0.7,0.354,-14.043,0,6,0.0345,0.765,0.00158,0.128,0.245,119.965,227027,True
A.M.,Lonr.,0.74,0.761,-4.753,0,0,0.0851,0.0691,0.0,0.142,0.453,146.144,164935,True
The Love Club,Lorde,0.794,0.493,-7.257,1,5,0.0563,0.212,0.0133,0.13,0.626,92.026,201434,True
Cartier,Dopebwoy,0.849,0.778,-5.443,1,0,0.217,0.0358,1.43e-06,0.126,0.634,126.842,232422,True
Fuck You,Lily Allen,0.775,0.904,-4.08,0,1,0.0437,0.0271,0.000303,0.06,0.84,130.009,219893,True
Chanel,Frank Ocean,0.776,0.503,-5.732,0,0,0.237,0.874,0.0,0.112,0.473,110.134,210285,True
Pompeii,Bastille,0.679,0.715,-6.383,1,9,0.0407,0.0755,0.0,0.271,0.571,127.435,214148,True
No Idea,Don Toliver,0.651,0.631,-5.717,0,6,0.0896,0.519,0.000579,0.165,0.35,127.994,154424,True
Sweater Weather,The Neighbourhood,0.612,0.807,-2.81,1,10,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,True
Drip Boy,Saint Bone,0.864,0.433,-13.471,0,1,0.352,0.182,0.0,0.299,0.486,78.08,203533,True
I Can't Decide,Scissor Sisters,0.69,0.807,-4.912,1,3,0.0326,0.239,0.0,0.205,0.869,96.991,166573,True
Just Give Me a Reason (feat. Nate Ruess),P!nk,0.778,0.547,-7.273,1,2,0.0489,0.346,0.000302,0.132,0.441,95.002,242733,True
Griztronics,GRiZ,0.607,0.941,-3.807,0,11,0.481,0.037,0.0137,0.321,0.521,75.401,198400,True
Back Up (feat. Big Sean),DeJ Loaf,0.816,0.535,-8.302,1,9,0.338,0.147,4.53e-06,0.176,0.435,80.012,241267,True
Out There,Patrick Page,0.252,0.469,-7.99,0,1,0.046,0.796,4.56e-06,0.0774,0.317,171.488,275947,True
Choices (Yup),E-40,0.9,0.604,-7.26,0,9,0.338,0.153,0.000252,0.0914,0.265,119.969,272720,True
I Can't Handle Change,Roar,0.247,0.438,-8.478,1,5,0.0358,0.0447,0.000867,0.111,0.39,185.711,198213,True
I Will Survive - Single Version,Gloria Gaynor,0.771,0.649,-10.375,1,0,0.0434,0.0137,0.00111,0.324,0.653,116.286,197573,True
Low (feat. T-Pain),Flo Rida,0.918,0.609,-5.64,0,10,0.0791,0.0928,0.0,0.139,0.304,128.008,231400,True
Rather Be (feat. Jess Glynne),Clean Bandit,0.799,0.586,-6.735,1,11,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,True
I Lived,Kenny Packer,0.636,0.674,-9.623,1,2,0.0336,0.215,1.97e-05,0.157,0.18,119.955,188056,True
Stolen Dance,Milky Chance,0.885,0.581,-8.813,1,11,0.0378,0.427,0.000204,0.0759,0.728,114.016,313684,True
Can't Stop Singing,Ross Lynch,0.513,0.69,-4.986,1,0,0.0341,0.51,0.0,0.102,0.777,96.881,145920,True
Wouldn't It Be Nice - Remastered 1999,The Beach Boys,0.429,0.543,-9.139,1,5,0.0347,0.536,2.54e-05,0.125,0.693,122.619,145107,True
Cherry Cola,Kuwada,0.777,0.635,-6.323,0,5,0.0392,0.764,2.25e-06,0.155,0.653,138.04,184360,True
Entropy (2014 Original),Awkward Marina,0.68,0.513,-13.605,1,8,0.0598,0.22,0.0,0.138,0.397,106.981,210887,True
Let Me Hit It - Audiostalkers Original Mix,Sporty-O,0.788,0.798,-7.04,1,1,0.146,0.000122,0.222,0.0194,0.713,127.987,289001,True
Devil Town,Cavetown,0.577,0.758,-8.166,1,3,0.0586,0.122,0.0,0.121,0.493,99.969,179955,True
C'Mon,Kesha,0.558,0.781,-5.448,0,1,0.0963,0.00657,0.00144,0.102,0.286,126.025,214307,True
Hall of Fame (feat. will.i.am),The Script,0.421,0.873,-4.343,1,10,0.0564,0.0654,0.0,0.123,0.629,84.786,202533,True
All I Want for Christmas Is You,Mariah Carey,0.336,0.627,-7.463,1,7,0.0384,0.164,0.0,0.0708,0.35,150.273,241107,True
Jingle Bell Rock,Bobby Helms,0.754,0.424,-8.463,1,2,0.0363,0.643,0.0,0.0652,0.806,119.705,130973,True
If the World Was Ending (feat. Julia Michaels),JP Saxe,0.464,0.473,-10.086,1,1,0.129,0.866,0.0,0.109,0.604,75.801,208687,True
Tequila,The Champs,0.6,0.528,-16.601,1,10,0.0385,0.752,0.684,0.0493,0.971,174.095,135027,True
Say So,Doja Cat,0.787,0.673,-4.583,0,11,0.159,0.264,3.35e-06,0.0904,0.779,110.962,237893,True
Get Up (feat. Chamillionaire),Ciara,0.941,0.631,-5.998,0,1,0.114,0.0366,1.8e-06,0.0311,0.63,128.597,263373,True
Not What I Meant (feat. Lewis Watson),dodie,0.482,0.273,-13.396,1,0,0.043,0.792,0.00223,0.109,0.142,118.952,143290,True
The Weekend - Funk Wav Remix,SZA,0.775,0.573,-4.933,1,11,0.0585,0.495,0.0,0.126,0.667,101.925,171806,True
A Thousand Years,Christina Perri,0.421,0.407,-7.445,1,10,0.0267,0.309,0.000961,0.11,0.161,139.028,285120,True
Mr. Saxobeat - Radio Edit,Alexandra Stan,0.72,0.925,-4.165,0,4,0.0511,0.0276,0.000238,0.14,0.781,127.004,195105,True
We R Who We R,Kesha,0.736,0.817,-4.9,1,8,0.0407,0.00987,0.00167,0.117,0.653,119.95,204760,True
Crank That (Soulja Boy),Soulja Boy,0.736,0.74,-2.18,1,0,0.0786,0.515,0.0,0.0468,0.803,140.141,221933,True
No More ?'s,Eazy-E,0.935,0.805,-4.782,1,7,0.225,0.0143,1.53e-06,0.298,0.624,105.641,234360,True
Y U Gotta B Like That,Audrey Mika,0.732,0.413,-6.353,1,9,0.0702,0.287,0.0,0.0565,0.761,92.066,154456,True
Kill the Director,The Wombats,0.41,0.858,-5.295,0,1,0.0485,0.00347,0.0,0.0897,0.962,161.487,161560,True
Ligma,Billy Marchiafava,0.937,0.397,-9.414,1,8,0.418,0.0915,0.0,0.0919,0.603,128.561,75717,True
Airplane Mode,Limbo,0.665,0.373,-10.631,1,7,0.158,0.852,0.118,0.108,0.07,119.905,164113,True
It's You,Ali Gatie,0.732,0.463,-6.972,0,11,0.0287,0.374,0.0,0.194,0.397,95.971,212607,True
Baby Yoda,Song a Day,0.822,0.408,-16.616,1,2,0.206,0.373,0.0685,0.118,0.848,160.074,87000,True
"Monsters, Inc.",Randy Newman,0.68,0.465,-8.353,1,8,0.029,0.743,0.676,0.136,0.847,109.972,126387,True
hot girl bummer,blackbear,0.778,0.559,-7.109,0,6,0.0776,0.128,0.0,0.399,0.678,129.989,185093,True
Get Down,SIX,0.898,0.406,-9.905,0,4,0.102,0.00986,0.0,0.0509,0.39,102.985,253993,True
Falling,Trevor Daniel,0.784,0.43,-8.756,0,10,0.0364,0.123,0.0,0.0887,0.236,127.087,159382,True
successful,Ariana Grande,0.847,0.603,-4.607,0,0,0.0397,0.107,7.4e-06,0.106,0.735,114.045,227387,True
Chucky Cheese,MadeinTYO,0.89,0.542,-4.826,0,10,0.314,0.523,0.0,0.123,0.565,78.458,165293,True
Sin City,Chrishan,0.886,0.225,-11.437,1,4,0.457,0.676,0.0,0.0938,0.387,120.1,212000,True
MICKEY,Lil Yachty,0.971,0.465,-5.655,1,1,0.23,0.0295,0.0,0.097,0.131,119.994,160518,True
Another Day Of Sun,La La Land Cast,0.588,0.742,-6.757,1,8,0.0528,0.0162,3.98e-06,0.653,0.824,125.819,228173,True
Forget Me Thots,Yung Gravy,0.887,0.737,-6.489,0,6,0.16,0.243,4.11e-05,0.109,0.685,104.924,184000,True
Act Up,City Girls,0.938,0.638,-4.713,1,8,0.189,0.0167,0.0,0.111,0.313,97.075,158332,True
This Is for Rachel,Gxrrixon,0.9,0.461,-14.453,1,8,0.515,0.161,1.78e-06,0.089,0.35,96.985,165698,True
Hokus Pokus,Insane Clown Posse,0.87,0.841,-5.084,0,11,0.0948,0.0193,7.71e-05,0.333,0.857,92.176,261173,True
恋愛サーキュレーション,物語シリーズ,0.814,0.785,-5.679,0,1,0.0396,0.0524,0.00111,0.111,0.941,120.009,255040,True
WTF,Young Spool,0.819,0.791,-5.736,1,8,0.324,0.372,6.22e-05,0.471,0.902,172.094,89293,True
223's (feat. 9lokknine),YNW Melly,0.932,0.547,-7.787,0,0,0.333,0.0388,0.0,0.0924,0.695,94.998,176640,True
cheatercheaterbestfriendeater,Never Shout Never,0.768,0.683,-7.173,1,7,0.0604,0.388,0.0,0.286,0.669,99.955,178144,True
Myself,Bazzi,0.745,0.561,-5.513,0,9,0.072,0.465,1.12e-06,0.0338,0.902,195.918,167553,True
Obsessed,Mariah Carey,0.742,0.468,-5.557,0,10,0.0625,0.0465,0.0,0.826,0.369,86.443,242200,True
GOODMORNINGTOKYO!,TOKYO’S REVENGE,0.907,0.539,-7.782,1,4,0.36,0.0408,0.0,0.253,0.664,124.918,150115,True
Walked In,Ultradiox,0.891,0.538,-6.724,1,2,0.394,0.123,0.0,0.0848,0.643,80.032,107404,True
Psycho!,MASN,0.868,0.365,-9.51,1,7,0.0383,0.433,0.0,0.207,0.471,114.979,197217,True
You Need To Calm Down,Taylor Swift,0.771,0.671,-5.617,1,2,0.0553,0.00929,0.0,0.0637,0.714,85.026,171360,True
Moskau,Dschinghis Khan,0.676,0.724,-5.941,0,5,0.039,0.0681,9.29e-05,0.139,0.676,132.056,221373,True
Big Fun,Jon Eidson,0.864,0.681,-6.032,1,8,0.232,0.538,0.0,0.555,0.734,118.061,254667,True
